Ward,Division,Dem,Rep,Ind,Other,Total,White,Black,Hispanic,Other,Male,Female,Unknown
40,45,521,23,2,30,576,32,284,4,15,159,220,197
40,46,515,32,0,30,577,33,313,8,10,171,203,204
40,47,173,6,1,8,188,4,118,1,3,36,91,65
40,48,496,37,3,28,564,73,202,10,11,154,207,203
40,49,457,50,8,33,548,115,158,2,23,144,198,206
40,50,450,28,2,27,507,62,220,1,14,133,211,165
40,51,418,27,1,25,471,32,209,2,7,135,164,174
41,1,386,62,3,39,490,107,99,68,10,130,186,178
41,2,434,65,2,34,535,130,114,66,8,160,215,163
41,3,342,53,1,38,434,102,85,50,11,113,183,139
41,4,434,74,3,47,558,193,70,59,13,160,193,206
41,5,243,62,0,34,339,98,43,44,7,108,112,124
41,6,390,75,5,53,523,187,56,64,18,171,197,157
41,7,329,75,4,36,444,126,79,59,12,134,175,136
41,8,438,79,3,42,562,159,88,52,9,161,224,180
41,9,349,86,4,38,477,145,76,57,5,129,181,169
41,10,380,62,5,46,493,149,51,58,6,154,168,172
41,11,311,87,8,31,437,147,59,37,15,129,160,149
41,12,361,55,2,46,464,166,65,58,12,138,195,134
41,13,403,99,0,41,543,197,65,52,12,167,215,165
41,14,384,79,3,37,503,195,57,43,7,160,176,167
41,15,371,84,3,60,518,186,67,35,20,169,193,157
41,16,244,68,3,32,347,115,34,25,9,108,131,109
41,17,290,77,2,24,393,181,23,27,7,127,142,125
41,18,279,82,4,26,391,166,21,27,8,120,144,128
41,19,281,106,3,35,425,175,33,31,6,125,156,147
41,20,376,67,5,34,482,163,61,42,7,142,187,153
41,21,326,90,3,36,455,186,51,36,6,130,177,151
41,22,348,61,1,50,460,142,41,45,10,131,177,153
41,23,376,96,3,45,520,218,29,43,9,146,201,175
41,24,397,81,1,44,523,235,39,25,10,156,198,170
41,25,403,96,2,62,563,204,52,58,10,163,199,202
41,26,298,64,6,32,400,161,42,22,7,126,155,122
42,1,659,74,3,104,840,55,129,308,36,225,263,355
42,2,423,47,0,51,521,21,56,246,39,135,171,222
42,3,539,41,4,51,635,36,114,269,15,160,230,250
42,4,508,39,2,55,604,11,111,263,20,159,204,246
42,5,666,54,2,65,787,31,186,298,29,200,267,330
42,6,437,70,3,57,567,35,77,188,84,152,207,216
42,7,479,42,2,58,581,20,112,246,18,146,203,236
42,8,547,63,1,81,692,27,76,282,52,168,210,319
42,9,453,56,2,65,576,27,125,182,43,140,179,263
42,10,484,65,2,64,615,21,121,198,56,163,203,254
42,11,681,40,2,60,783,36,197,236,35,191,267,330
42,12,524,38,1,56,619,18,207,116,23,168,213,240
42,13,849,28,4,77,958,16,372,220,26,221,336,408
42,14,628,46,0,76,750,29,215,160,34,226,238,291
42,15,624,62,4,75,765,34,236,108,62,195,220,356
42,16,536,57,5,60,658,21,193,131,57,197,214,252
42,17,530,38,2,41,611,29,184,161,34,148,200,266
42,18,571,58,2,53,684,50,201,122,40,166,248,273
42,19,620,61,3,72,756,37,204,125,54,205,263,292
42,20,661,31,2,66,760,21,294,136,39,203,260,302
42,21,386,26,1,27,440,15,172,79,24,119,176,148
42,22,646,52,2,52,752,36,148,282,27,191,257,310
42,23,335,36,1,29,401,19,55,165,13,116,134,157
42,24,577,41,3,49,670,39,195,123,52,185,224,270
42,25,442,20,1,48,511,23,201,22,34,154,174,186
43,1,453,26,3,30,512,21,284,20,7,158,165,191
43,2,630,37,2,49,718,20,213,253,29,167,250,307
43,3,578,36,3,51,668,10,121,316,19,163,212,297
43,4,591,46,3,60,700,13,169,309,26,183,230,288
43,5,549,26,3,68,646,6,202,275,11,166,203,286
43,6,554,35,3,61,653,10,82,382,19,155,216,292
43,7,742,40,2,72,856,4,184,430,17,196,283,385
43,8,582,34,1,62,679,8,172,292,18,176,220,289
43,9,448,21,0,31,500,15,252,21,9,149,178,177
43,10,403,13,2,25,443,8,264,13,10,143,157,147
43,11,363,30,0,40,433,8,31,279,17,108,149,183
43,12,518,47,1,41,607,10,61,340,26,166,176,269
43,13,450,29,0,36,515,12,190,119,14,146,179,197
43,14,482,20,1,35,538,10,306,24,9,142,203,195
43,15,416,11,2,22,451,4,253,32,5,135,179,138
43,16,470,19,1,30,520,5,230,112,10,145,182,197
43,17,418,35,3,53,509,13,75,294,10,142,151,221
43,18,655,56,5,80,796,15,72,474,28,188,238,374
43,19,625,33,2,61,721,5,193,288,24,170,234,325
43,20,505,37,1,48,591,4,101,310,22,137,181,280
43,21,412,11,4,32,459,9,153,148,12,126,164,174
43,22,287,13,0,11,311,7,192,1,5,89,115,109
43,23,345,11,0,25,381,8,206,15,7,109,143,131
43,24,428,16,2,32,478,1,269,17,12,124,182,174
43,25,455,35,3,39,532,4,185,183,13,135,183,221
44,1,519,21,1,30,571,5,326,2,3,160,241,171
44,2,557,13,4,34,608,3,384,2,9,160,268,184
44,3,440,16,0,21,477,0,297,2,8,140,198,140
44,4,478,30,3,16,527,1,304,3,7,147,208,176
