Ward,Division,Dem,Rep,Ind,Other,Total,White,Black,Hispanic,Other,Male,Female,Unknown
44,5,404,18,0,23,445,14,249,8,5,141,162,145
44,6,570,37,1,24,632,7,362,1,6,167,258,210
44,7,562,23,2,19,606,1,364,2,4,151,266,191
44,8,450,13,3,26,492,19,245,11,10,143,206,144
44,9,427,12,1,16,456,2,273,2,7,116,163,179
44,10,400,14,1,33,448,10,250,2,7,121,176,153
44,11,605,10,2,27,644,11,389,4,10,172,268,208
44,12,306,8,0,15,329,1,218,2,9,81,140,108
44,13,454,7,2,20,483,5,296,1,3,125,183,177
44,14,487,14,4,27,532,4,315,4,2,157,205,173
44,15,470,14,2,37,523,3,288,5,10,162,200,166
44,16,426,15,5,25,471,2,253,2,10,135,168,171
44,17,348,5,3,21,377,2,200,4,8,120,128,130
44,18,428,10,1,25,464,2,252,5,5,126,201,140
44,19,484,23,3,30,540,10,319,1,5,160,210,173
45,1,291,239,5,37,572,301,1,13,11,166,207,200
45,2,396,120,4,52,572,182,59,102,9,174,194,207
45,3,434,386,6,54,880,443,5,16,4,256,299,326
45,4,348,240,4,57,649,384,1,4,5,198,246,205
45,5,350,203,3,57,613,329,12,24,10,190,217,210
45,6,332,169,2,62,565,298,7,14,3,201,210,155
45,7,260,121,4,47,432,226,2,15,3,123,164,147
45,8,416,104,3,56,579,129,101,124,9,218,167,199
45,9,449,64,5,49,567,103,105,161,12,199,204,170
45,10,461,69,4,54,588,83,113,190,9,165,202,224
45,11,467,75,3,63,608,101,123,160,22,192,208,214
45,12,228,86,3,39,356,145,24,35,4,103,128,128
45,13,386,89,3,54,532,116,90,111,11,157,178,200
45,14,110,29,1,17,157,59,4,30,5,48,56,54
45,15,304,180,6,56,546,299,2,11,5,158,200,190
45,16,346,47,2,51,446,74,73,131,10,114,182,156
45,17,513,86,2,65,666,117,125,163,12,198,247,224
45,18,362,75,3,50,490,91,97,129,6,140,179,173
45,19,451,64,1,39,555,66,117,158,10,164,206,188
45,20,343,233,7,35,618,347,1,4,2,207,234,179
45,21,320,81,2,32,435,95,94,67,10,126,155,157
45,22,261,179,4,45,489,273,3,4,1,142,187,160
45,23,335,211,2,37,585,335,11,7,2,182,210,193
45,24,384,286,4,54,728,388,3,7,6,200,251,278
45,25,262,187,4,43,496,260,8,13,4,166,169,161
46,1,568,28,14,136,746,142,83,10,30,234,269,245
46,2,498,21,7,97,623,83,173,7,7,202,238,188
46,3,568,17,4,84,673,36,276,6,9,212,233,233
46,4,462,14,3,20,499,10,283,1,4,138,203,162
46,5,483,8,0,30,521,3,324,5,6,129,228,168
46,6,658,15,1,28,702,3,401,2,3,194,263,245
46,7,478,17,11,88,594,91,140,8,14,182,252,165
46,8,651,29,7,147,834,130,156,16,25,258,310,276
46,9,535,11,5,112,663,77,142,11,20,190,247,230
46,10,469,15,5,48,537,27,227,9,10,148,205,184
46,11,545,17,2,35,599,10,315,3,4,167,226,211
46,12,598,16,1,26,641,1,381,1,7,158,241,243
46,13,513,18,2,18,551,4,324,3,5,143,228,183
46,14,407,10,2,21,440,2,251,0,8,102,180,159
46,15,545,7,2,13,567,1,332,1,9,151,256,160
46,16,610,36,11,98,755,123,131,10,30,252,257,249
46,17,698,45,5,146,894,219,96,7,27,272,364,259
46,18,442,32,4,110,588,89,84,4,24,184,219,188
46,19,695,55,12,154,916,167,101,12,34,261,347,311
46,20,499,7,1,24,531,3,309,4,6,132,240,161
46,21,442,10,0,25,477,2,276,3,5,138,196,147
46,22,663,27,7,96,793,57,294,6,16,218,327,254
46,23,578,32,10,139,759,121,77,12,25,216,309,238
47,1,566,40,7,102,715,58,258,35,14,273,196,250
47,2,330,28,4,58,420,19,160,10,11,134,138,149
47,3,634,58,11,149,852,78,201,16,27,253,382,223
47,4,229,8,0,23,260,12,148,4,5,97,73,94
47,5,356,15,3,30,404,7,214,7,7,107,182,116
47,6,406,38,2,89,535,35,162,4,13,191,187,164
47,7,343,11,3,51,408,22,155,3,7,138,146,126
47,8,403,17,4,47,471,12,232,5,5,110,200,162
47,9,288,11,1,20,320,5,185,5,8,95,145,82
47,10,226,17,0,26,269,18,128,3,2,89,94,86
47,11,304,14,0,13,331,0,212,3,2,87,116,128
47,12,603,83,4,210,900,93,160,13,24,267,343,301
47,13,304,8,2,13,327,2,183,2,6,95,136,98
47,14,202,13,0,16,231,7,128,13,4,86,77,69
48,1,421,29,3,54,507,52,177,5,41,146,205,165
48,2,518,24,1,29,572,16,291,5,20,151,203,222
48,3,583,26,3,48,660,9,354,5,15,164,254,244
48,4,565,20,3,19,607,8,315,9,7,178,227,205
48,5,369,17,4,56,446,50,167,6,26,128,177,142
48,6,441,20,0,31,492,16,258,4,7,136,192,165
48,7,394,66,4,39,503,150,142,3,27,122,202,180
48,8,550,19,3,41,613,36,289,7,8,158,244,213
48,9,388,33,0,38,459,22,210,5,31,127,180,159
48,10,368,70,8,30,476,137,99,10,26,150,169,158
48,11,215,4,0,13,232,2,134,6,3,48,117,69
48,12,459,63,2,66,590,105,159,19,36,169,204,221
48,13,465,76,5,83,629,115,140,12,86,189,199,247
48,14,283,47,4,60,394,93,42,9,46,126,118,151
48,15,517,43,6,38,604,93,231,5,19,167,245,197
48,16,414,58,6,41,519,73,155,12,22,137,186,198
48,17,464,63,3,56,586,90,183,15,24,173,212,207
48,18,284,43,1,70,398,38,93,7,56,104,139,158
48,19,237,76,1,37,351,130,27,11,42,92,111,151
48,20,289,50,4,73,416,102,27,11,42,136,140,143
48,21,981,35,4,39,1059,13,666,13,10,251,451,362
48,22,152,96,7,27,282,116,27,0,26,95,95,93
48,23,584,23,0,43,650,3,341,12,14,144,267,242
49,1,572,25,0,44,641,12,181,226,21,166,226,251
49,2,692,45,4,49,790,18,399,19,36,199,313,282
49,3,983,23,4,65,1075,24,581,10,22,349,439,290
49,4,577,20,1,33,631,7,372,18,8,163,241,229
49,5,698,29,7,39,773,13,434,19,14,242,286,248
49,6,544,12,1,35,592,12,316,4,14,178,219,198
49,7,757,31,3,40,831,4,454,14,14,265,277,291
49,8,679,23,5,54,761,37,388,19,13,221,305,241
49,9,1019,55,4,83,1161,18,422,230,65,292,438,443
49,10,608,16,1,46,671,8,344,14,16,184,264,228
49,11,597,31,2,43,673,12,334,12,28,173,274,230
49,12,701,32,3,52,788,4,429,15,20,232,291,270
49,13,404,22,4,27,457,6,199,70,4,126,168,164
49,14,517,37,0,40,594,8,332,35,6,158,224,216
49,15,601,26,3,33,663,5,403,17,11,186,257,223
49,16,617,20,2,29,668,5,395,15,18,189,254,225
49,17,723,22,5,56,806,12,430,18,18,232,290,290
49,18,633,18,4,39,694,32,337,3,15,220,302,176
49,19,672,25,2,32,731,7,402,43,6,182,271,285
49,20,663,25,2,47,737,10,411,9,12,203,283,253
49,21,881,48,3,73,1005,19,531,19,23,310,372,330
49,22,854,30,5,39,928,17,512,32,15,252,339,342
50,1,508,11,5,18,542,4,315,4,13,146,229,169
50,2,652,14,4,28,698,9,423,1,5,190,296,214
50,3,645,12,2,44,703,7,389,8,9,210,269,228
50,4,617,5,2,26,650,4,380,5,8,172,306,174
50,5,598,20,3,24,645,14,371,2,7,184,282,180
50,6,529,15,1,21,566,3,318,5,9,148,259,161
50,7,699,13,4,25,741,7,444,0,8,227,311,205
50,8,660,16,4,30,710,8,383,2,7,183,295,235
50,9,607,9,5,22,643,8,342,4,17,184,279,183
50,10,546,12,7,33,598,11,339,2,8,163,260,175
50,11,429,13,0,22,464,5,257,3,9,131,194,139
50,12,597,18,0,28,643,7,357,3,7,172,274,197
50,13,539,16,4,29,588,3,349,4,6,181,227,183
50,14,514,9,4,21,548,8,329,3,6,164,226,158
50,15,549,15,2,19,585,8,336,2,8,162,253,171
50,16,726,23,0,37,786,11,438,8,10,216,336,235
50,17,588,6,4,34,632,5,341,1,10,182,290,161
50,18,571,11,2,28,612,4,383,2,6,161,265,187
50,19,695,7,3,32,737,6,446,3,11,212,279,249
50,20,658,20,2,21,701,6,410,0,10,199,269,234
50,21,742,15,2,26,785,15,467,4,12,232,338,216
50,22,691,5,4,26,726,4,408,6,8,190,308,228
50,23,460,6,0,13,479,4,277,2,5,131,201,147
50,24,654,19,1,38,712,7,404,7,7,200,290,225
50,25,516,13,4,31,564,8,298,1,6,147,225,193
50,26,610,12,2,26,650,4,385,5,6,196,265,190
50,27,561,10,3,19,593,6,348,1,5,177,259,158
50,28,672,9,0,32,713,6,417,6,8,204,277,235
50,29,704,18,2,32,756,7,434,3,8,204,284,272
50,30,536,6,1,29,572,3,329,5,6,145,244,185
51,1,436,16,0,17,469,6,305,1,5,135,183,153
51,2,446,12,3,22,483,13,257,6,9,141,182,161
51,3,511,15,2,21,549,7,306,1,5,168,199,185
51,4,466,12,0,23,501,4,289,1,5,132,191,181
51,5,514,19,4,46,583,12,304,5,7,145,239,200
51,6,554,17,4,124,699,85,174,11,17,209,285,209
51,7,417,12,2,34,465,4,270,6,4,136,183,148
51,8,476,12,1,13,502,6,290,2,5,129,204,170
51,9,464,12,2,23,501,3,306,5,2,132,171,201
51,10,415,41,3,19,478,48,236,2,6,119,192,169
51,11,413,13,0,22,448,7,261,1,6,121,164,163
51,12,532,19,3,24,578,5,349,4,8,150,233,197
51,13,570,19,3,31,623,4,359,6,8,179,253,193
51,14,544,20,1,55,620,32,288,4,8,174,247,199
51,15,531,11,5,27,574,4,308,1,3,165,232,179
51,16,484,8,0,24,516,1,327,1,10,123,194,201
51,17,506,18,2,29,555,3,333,3,4,141,210,205
51,18,572,4,4,23,603,2,352,1,5,162,232,210
51,19,411,10,0,10,431,1,266,3,5,117,192,123
51,20,453,17,5,19,494,5,291,2,6,131,192,173
51,21,370,13,1,26,410,2,248,2,7,112,155,144
51,22,503,19,2,22,546,1,318,3,6,151,203,196
51,23,419,14,2,20,455,2,265,5,6,131,179,150
51,24,553,22,2,39,616,3,380,3,7,175,221,225
51,25,636,22,1,34,693,20,392,2,10,173,287,234
51,26,449,17,0,15,481,13,292,1,0,100,186,195
51,27,444,15,0,15,474,2,290,1,12,135,181,161
51,28,524,17,2,21,564,3,321,1,3,157,219,191
52,1,395,12,1,24,432,5,246,3,8,121,165,147
52,2,449,31,8,35,523,67,152,3,22,120,272,133
52,3,277,45,3,57,382,43,63,8,16,123,136,127
52,4,237,22,1,38,298,24,97,7,9,103,127,69
52,5,579,146,9,178,912,106,243,8,14,244,339,339
52,6,434,18,7,27,486,50,182,6,8,115,194,178
52,7,502,50,7,76,635,72,176,11,16,142,276,218
52,8,620,35,4,28,687,58,351,10,14,177,314,200
52,9,574,59,4,49,686,85,278,9,13,176,318,195
52,10,452,25,4,24,505,63,179,1,11,131,234,141
52,11,580,44,4,57,685,49,277,7,10,172,270,244
52,12,637,98,15,58,808,157,238,5,9,246,304,263
52,13,589,22,6,43,660,17,341,10,9,184,284,192
52,14,501,60,2,81,644,55,237,6,16,194,250,204
52,15,614,40,5,54,713,16,368,9,8,212,249,258
52,16,772,31,8,61,872,56,394,9,14,257,372,247
52,17,629,20,3,28,680,5,371,4,9,184,288,208
52,18,560,14,3,20,597,8,356,4,5,154,246,202
52,19,576,18,6,38,638,11,367,7,4,198,248,197
52,20,488,37,3,36,564,42,252,6,11,153,232,183
52,21,589,25,3,22,639,4,419,3,3,185,258,201
52,22,582,13,0,18,613,2,350,0,0,158,254,203
52,23,610,10,5,24,649,3,383,5,7,180,264,205
52,24,605,12,3,29,649,5,384,3,6,175,274,205
52,25,718,22,3,28,771,5,442,6,8,210,302,263
52,26,617,21,3,30,671,5,380,1,9,200,276,196
52,27,643,11,3,34,691,4,420,6,7,198,277,217
52,28,388,40,5,55,488,96,130,13,5,125,232,132
53,1,478,52,1,39,570,83,146,61,32,156,210,210
53,2,519,35,2,54,610,66,167,87,16,157,220,238
53,3,446,33,0,48,527,64,132,65,31,139,199,192
53,4,503,53,1,48,605,64,188,57,23,154,206,248
53,5,539,55,5,63,662,70,199,77,34,190,206,270
53,6,405,40,2,50,497,97,132,54,29,151,183,166
53,7,439,53,2,66,560,53,165,50,41,139,201,228
53,8,344,47,2,28,421,59,113,44,17,117,162,144
53,9,342,33,0,50,425,53,103,52,30,111,163,153
53,10,312,41,2,36,391,75,88,44,13,114,150,139
53,11,338,49,4,41,432,84,86,47,33,131,161,143
53,12,426,85,3,68,582,125,99,55,39,172,215,198
53,13,429,46,1,52,528,80,106,55,33,143,189,199
53,14,360,77,3,38,478,92,81,40,36,135,168,179
53,15,368,123,4,45,540,153,55,46,23,157,231,153
53,16,343,80,4,48,475,146,32,59,38,141,174,167
53,17,330,89,5,55,479,159,42,42,26,140,156,186
53,18,401,103,7,58,569,164,72,48,30,157,198,219
53,19,397,92,3,71,563,154,75,31,37,140,221,204
53,20,384,131,7,63,585,222,49,61,24,200,219,170
53,21,407,207,2,60,676,234,69,52,22,203,253,222
53,22,387,69,3,42,501,131,73,51,35,131,183,192
53,23,336,38,0,44,418,49,72,77,29,114,171,139
54,1,416,34,2,45,497,70,146,52,20,135,215,150
54,2,551,39,3,55,648,52,208,71,17,171,252,229
54,3,381,26,7,36,450,65,106,53,24,139,165,146
54,4,391,24,0,63,478,58,116,59,23,110,195,180
54,5,365,43,2,53,463,62,106,60,35,125,159,183
54,6,402,43,3,35,483,75,93,59,31,144,182,162
54,7,368,49,5,58,480,97,82,45,36,131,180,169
54,8,334,40,4,56,434,107,79,32,32,124,154,162
54,9,398,47,2,53,500,101,103,58,23,122,196,185
54,10,316,65,2,44,427,117,52,45,36,126,163,140
54,11,294,31,5,35,365,66,78,37,30,107,137,124
54,12,370,40,1,47,458,70,91,47,29,133,151,174
54,13,358,50,2,43,453,72,85,70,29,125,158,176
54,14,265,36,3,46,350,84,49,36,23,91,124,141
54,15,249,45,1,41,336,94,39,36,31,114,109,116
54,16,293,54,1,54,402,89,48,38,38,109,145,153
54,17,317,35,1,37,390,86,69,50,20,122,144,127
54,18,363,54,3,46,466,94,84,45,29,122,178,168
54,19,259,32,1,40,332,109,39,38,25,97,131,111
54,20,317,48,2,64,431,104,64,30,39,120,164,151
54,21,314,47,3,51,415,124,38,51,27,121,152,145
54,22,312,49,2,41,404,103,37,52,27,115,138,152
55,1,399,106,0,28,533,169,49,67,13,153,198,185
55,2,451,117,1,49,618,183,99,65,15,183,221,218
55,3,422,126,3,60,611,191,59,65,8,178,191,245
55,4,447,86,8,36,577,201,61,54,8,166,193,219
55,5,442,97,3,43,585,185,66,71,9,157,225,204
55,6,371,124,3,46,544,201,45,46,14,166,166,213
55,7,513,107,3,48,671,226,61,66,12,196,227,252
55,8,284,139,7,48,478,196,19,19,11,136,156,187
55,9,278,103,3,41,425,153,38,50,8,115,159,154
55,10,338,84,4,38,464,143,66,35,12,139,157,171
55,11,322,169,7,36,534,248,16,35,4,141,170,224
55,12,294,180,4,32,510,253,11,18,8,132,179,199
55,13,257,153,3,25,438,182,5,25,11,105,154,179
55,14,337,136,4,36,513,234,14,23,12,136,168,209
55,15,341,128,3,51,523,226,22,19,16,157,181,188
55,16,344,172,3,49,568,245,24,27,16,171,188,209
55,17,316,165,6,40,527,242,27,27,10,162,188,179
55,18,260,140,2,45,447,208,15,13,10,135,167,148
55,19,243,226,3,33,505,250,5,7,9,155,178,172
55,20,294,176,2,39,511,228,7,18,6,157,167,187
55,21,339,184,3,51,577,289,10,15,8,155,212,212
55,22,290,149,3,38,480,223,25,16,4,158,155,168
55,23,245,106,2,37,390,155,14,13,13,127,147,118
55,24,318,204,4,37,563,245,21,31,9,163,202,201
55,25,404,136,3,41,584,214,77,39,10,182,218,187
55,26,411,131,3,44,589,220,45,57,6,177,199,215
55,27,296,122,4,26,448,200,29,32,12,141,171,139
55,28,311,109,3,31,454,208,31,30,7,127,184,146
55,29,389,203,3,57,652,282,33,48,14,192,218,244
56,1,429,88,4,58,579,190,48,53,46,170,215,196
56,2,296,91,5,44,436,181,26,39,32,153,158,129
56,3,264,71,1,45,381,128,34,25,23,117,135,131
56,4,311,109,5,42,467,161,53,31,11,149,184,139
56,5,219,94,2,65,380,140,25,29,5,122,135,126
56,6,424,202,0,40,666,351,18,23,21,192,284,190
56,7,438,168,7,56,669,302,43,39,13,232,239,199
56,8,530,212,7,59,808,423,32,52,19,255,267,288
56,9,295,134,4,63,496,207,34,19,18,183,184,131
56,10,265,137,5,41,448,189,18,21,9,152,166,132
56,11,245,105,4,56,410,159,21,23,14,130,159,123
56,12,372,106,2,52,532,221,30,29,18,162,182,191
56,13,310,78,6,45,439,171,26,37,23,128,181,132
56,14,283,65,3,43,394,148,25,26,18,128,141,127
56,15,273,81,4,47,405,149,23,35,22,117,150,139
56,16,305,95,9,51,460,198,18,28,8,142,171,151
56,17,349,98,3,56,506,188,34,27,32,147,188,174
56,18,281,95,2,54,432,182,17,13,18,135,162,139
56,19,505,187,1,99,792,274,45,33,60,242,294,263
56,20,268,46,2,41,357,137,12,23,18,106,125,127
56,21,422,80,6,84,592,204,38,27,21,170,223,202
56,22,452,91,2,56,601,309,13,9,16,129,179,295
56,23,407,124,9,56,596,246,25,41,20,190,205,205
56,24,334,77,4,75,490,183,33,19,39,143,177,171
56,25,485,61,2,41,589,152,40,39,20,203,243,144
56,26,357,105,4,61,527,228,20,41,23,174,177,179
56,27,278,71,3,28,380,186,14,21,11,122,140,121
56,28,324,72,3,52,451,153,49,28,26,154,150,147
56,29,430,93,2,60,585,304,23,15,14,139,207,244
56,30,611,180,13,141,945,340,60,14,31,259,316,374
56,31,449,132,4,83,668,286,25,21,40,193,248,231
56,32,242,101,3,34,380,172,17,21,12,128,129,124
56,33,251,88,5,43,387,137,28,28,23,118,149,121
56,34,362,46,5,40,453,92,89,19,19,140,201,113
56,35,369,70,6,56,501,147,84,27,23,149,210,143
56,36,270,59,5,39,373,136,32,17,13,113,153,107
56,37,289,86,2,48,425,151,29,26,17,140,161,125
56,38,339,105,6,54,504,180,55,21,24,144,215,149
56,39,453,108,13,89,663,216,43,21,41,215,250,201
56,40,303,65,1,44,413,123,40,44,34,119,146,153
56,41,627,119,8,116,870,262,126,42,33,268,331,278
57,1,321,179,4,59,563,312,14,13,3,167,220,179
57,2,491,203,8,57,759,328,78,29,8,236,289,236
57,3,379,212,4,59,654,302,24,20,17,196,220,241
57,4,318,128,2,32,480,218,15,41,23,149,190,141
57,5,290,98,7,43,438,165,19,34,30,131,163,146
57,6,730,125,10,95,960,318,132,43,28,295,375,296
57,7,500,97,7,83,687,175,111,44,19,215,290,186
57,8,421,157,5,68,651,263,33,26,49,192,222,240
57,9,285,99,4,40,428,173,19,27,17,136,135,159
57,10,485,171,10,70,736,248,46,37,44,248,241,249
57,11,359,193,5,42,599,308,14,38,7,160,226,213
57,12,312,213,4,58,587,313,16,18,10,211,185,192
57,13,314,320,3,41,678,411,1,4,4,224,248,207
57,14,317,213,3,35,568,323,4,10,6,187,221,160
57,15,371,157,5,52,585,274,35,15,16,182,213,191
57,16,268,164,7,33,472,240,7,18,10,142,182,149
57,17,332,174,2,39,547,300,9,4,6,159,210,179
57,18,374,168,12,41,595,307,26,6,7,180,223,192
57,19,294,106,2,32,434,225,15,11,7,137,152,146
57,20,299,121,3,48,471,186,24,23,25,124,171,179
57,21,251,133,2,42,428,219,14,17,12,146,169,115
57,22,272,132,6,23,433,261,2,3,5,138,167,128
57,23,402,134,5,51,592,259,32,20,23,162,211,220
57,24,284,114,7,43,448,176,32,22,9,135,153,161
57,25,305,124,7,43,479,233,19,19,17,143,182,154
57,26,443,78,0,56,577,170,103,23,28,159,234,186
57,27,649,69,7,81,806,118,224,48,30,269,335,206
57,28,280,125,3,31,439,247,7,1,3,130,148,162
58,1,298,96,6,79,479,169,15,19,32,123,163,198
58,2,326,63,2,59,450,102,49,23,36,147,171,140
58,3,619,241,8,144,1012,327,35,27,119,267,334,414
58,4,299,326,5,47,677,355,6,0,9,217,228,233
58,5,660,297,14,141,1112,422,68,51,31,343,362,411
58,6,319,173,7,55,554,272,6,24,18,151,203,202
58,7,275,157,1,38,471,219,16,21,17,130,156,189
58,8,519,182,11,137,849,318,50,33,45,227,261,366
58,9,319,214,0,44,577,334,3,25,12,178,222,177
58,10,398,176,11,58,643,301,4,31,24,165,226,252
58,11,304,194,3,75,576,252,23,18,31,167,203,208
58,12,331,131,10,81,553,200,13,21,29,160,174,223
58,13,302,181,7,55,545,235,6,14,50,163,198,190
58,14,234,149,3,47,433,221,3,14,29,129,136,173
58,15,276,69,4,56,405,97,13,7,69,93,130,187
58,16,290,202,4,41,537,270,3,7,17,161,193,183
58,17,376,174,3,79,632,227,7,25,80,198,207,227
58,18,503,141,8,111,763,206,66,25,62,221,273,274
58,19,448,241,13,63,765,372,3,32,31,230,281,257
58,20,387,154,7,70,618,226,38,15,6,186,240,194
58,21,325,283,7,61,676,352,15,15,8,219,238,220
58,22,266,192,8,49,515,230,13,18,19,148,167,200
58,23,379,200,9,56,644,291,18,31,33,190,224,236
58,24,511,237,3,71,822,375,50,18,10,350,271,202
58,25,367,158,9,73,607,209,30,24,40,197,182,233
58,26,394,176,1,53,624,293,4,15,20,190,198,238
58,27,443,145,3,107,698,241,42,17,46,188,252,263
58,28,334,161,5,45,545,242,9,20,33,186,193,167
58,29,483,293,9,77,862,423,12,25,15,252,308,305
58,30,318,151,7,69,545,252,7,7,38,154,173,224
58,31,556,216,8,87,867,340,68,19,59,246,314,312
58,32,190,80,6,67,343,162,6,6,16,103,120,120
58,33,300,150,4,95,549,220,11,8,14,148,169,237
58,34,352,172,6,69,599,304,8,13,18,167,195,242
58,35,637,264,10,95,1006,572,10,17,21,214,342,452
58,36,251,64,5,62,382,104,18,12,39,103,118,163
58,37,385,158,7,72,622,308,6,11,21,162,222,239
58,38,258,113,7,96,474,195,4,12,9,149,143,185
58,39,277,244,4,45,570,298,4,12,10,192,227,151
58,40,289,141,4,70,504,215,10,14,43,130,156,220
58,41,427,368,4,60,859,463,15,15,13,288,300,274
58,42,287,143,3,58,491,246,16,22,18,164,180,152
58,43,275,112,9,48,444,208,10,13,21,122,143,179
58,44,546,165,7,69,787,499,9,6,3,168,330,292
59,1,572,21,2,31,626,6,364,6,5,160,300,168
59,2,587,16,5,33,641,7,364,8,6,172,259,214
59,3,568,21,3,28,620,2,337,7,9,169,241,216
59,4,745,22,0,38,805,45,432,5,9,234,323,249
59,5,648,24,5,37,714,5,407,10,7,202,284,235
59,6,490,12,2,27,531,8,304,6,7,139,210,184
59,7,513,25,1,45,584,15,302,5,6,153,238,199
59,8,498,18,3,30,549,6,328,6,11,155,221,175
59,9,442,12,1,17,472,7,259,4,5,143,195,138
59,10,887,33,7,48,975,6,548,16,11,256,387,332
59,11,476,12,4,18,510,5,276,4,14,117,218,177
59,12,482,13,0,31,526,13,261,8,4,139,213,178
59,13,602,18,4,29,653,4,363,0,5,220,248,187
59,14,402,7,1,20,430,1,245,2,6,112,181,138
59,15,438,32,1,33,504,17,244,6,14,161,204,141
59,16,559,22,2,46,629,21,332,8,12,194,261,182
59,17,726,30,9,75,840,110,307,11,22,298,322,224
59,18,538,21,3,34,596,54,267,3,13,170,269,157
59,19,661,21,9,59,750,117,240,8,15,238,279,233
59,20,203,31,6,58,298,26,52,0,5,83,97,119
59,21,510,30,7,46,593,79,208,2,16,194,251,149
59,22,491,22,7,80,600,124,165,8,12,204,242,155
59,23,440,22,7,25,494,24,257,3,7,141,201,156
59,24,372,13,2,37,424,30,176,1,8,128,180,116
59,25,472,23,5,54,554,74,189,1,10,156,255,145
60,1,306,15,3,47,371,17,155,5,10,106,171,98
60,2,550,14,1,37,602,20,303,9,12,181,238,184
60,3,442,11,6,30,489,7,271,3,5,150,184,158
60,4,473,17,1,19,510,3,295,1,6,161,197,155
60,5,586,15,1,24,626,6,364,3,13,178,241,210
60,6,529,22,3,22,576,8,351,1,4,174,240,165
60,7,475,18,1,20,514,3,281,0,10,119,213,183
60,8,371,10,6,49,436,25,191,4,4,135,197,107
60,9,704,27,8,81,820,61,303,6,17,269,305,252
60,10,395,12,3,28,438,2,260,4,4,110,163,165
60,11,570,11,5,33,619,1,390,3,5,173,262,185
60,12,432,24,2,38,496,22,245,4,5,146,207,144
60,13,401,17,1,30,449,13,240,1,8,131,174,148
60,14,554,9,1,31,595,5,348,7,19,146,260,191
60,15,496,11,3,23,533,5,323,3,8,145,225,165
60,16,528,9,2,27,566,4,321,2,9,165,235,171
60,17,615,21,1,20,657,8,381,4,7,191,264,208
60,18,496,19,0,36,551,2,334,6,6,161,213,177
60,19,534,11,5,29,579,2,339,2,6,155,245,179
60,20,542,19,3,26,590,1,372,2,6,151,240,200
60,21,369,11,2,15,397,4,242,2,10,109,150,142
60,22,438,12,0,18,468,3,278,4,4,129,171,170
60,23,481,22,4,58,565,18,250,3,23,178,210,180
61,1,486,42,5,35,568,26,217,59,46,165,221,186
61,2,528,29,3,34,594,17,263,24,36,161,214,222
61,3,499,41,3,41,584,29,183,68,53,161,206,221
61,4,513,38,2,60,613,37,205,87,42,180,214,225
61,5,461,47,2,38,548,32,175,55,50,152,203,195
61,6,807,47,5,48,907,56,385,35,36,230,315,366
61,7,657,52,3,50,762,57,288,57,23,208,267,289
61,8,517,42,1,63,623,32,230,58,46,155,203,268
61,9,608,42,6,47,703,28,293,38,33,174,283,252
61,10,598,57,3,70,728,29,234,87,58,175,253,305
61,11,546,22,2,43,613,17,241,51,25,136,231,246
61,12,613,17,0,51,681,5,314,25,12,216,320,148
61,13,573,38,4,42,657,20,289,65,29,166,244,253
61,14,532,40,2,51,625,33,269,53,22,177,222,231
61,15,467,36,2,43,548,21,211,40,44,141,203,206
61,16,472,31,1,53,557,28,182,41,44,135,181,244
61,17,424,51,4,47,526,75,167,25,27,129,195,205
61,18,585,57,7,74,723,22,280,49,66,182,257,290
61,19,458,41,5,45,549,23,176,30,54,145,199,207
61,20,485,10,1,24,520,14,255,14,8,134,202,185
61,21,711,32,4,36,783,34,365,16,24,249,322,213
61,22,501,30,2,34,567,30,239,12,12,152,221,194
61,23,531,38,7,55,631,73,264,20,11,185,248,200
61,24,383,31,2,33,449,37,172,25,16,134,174,142
61,25,458,29,3,30,520,39,227,18,20,150,175,200
61,26,460,43,2,40,545,45,227,29,12,146,222,181
61,27,564,25,2,30,621,28,267,12,25,175,237,211
61,28,501,15,5,24,545,15,282,7,10,139,223,186
62,1,636,75,2,61,774,121,217,141,17,204,314,262
62,2,550,49,3,70,672,79,186,138,13,172,270,232
62,3,403,60,3,32,498,123,94,79,8,165,191,145
62,4,685,56,5,40,786,78,289,129,16,223,322,249
62,5,395,52,3,36,486,67,122,68,17,130,208,151
62,6,597,88,5,74,764,130,235,56,13,254,281,231
62,7,558,35,6,46,645,66,191,100,16,149,243,256
62,8,581,38,4,52,675,72,227,69,22,178,234,266
62,9,498,48,2,45,593,54,199,67,18,169,233,193
62,10,443,33,2,39,517,64,138,81,14,140,182,196
62,11,599,54,4,48,705,90,197,110,20,180,249,280
62,12,473,48,3,35,559,76,160,82,10,161,194,207
62,13,619,57,7,65,748,98,224,109,18,207,277,268
62,14,557,46,3,37,643,88,182,91,18,179,237,229
62,15,475,66,2,45,588,104,119,114,20,157,240,194
62,16,483,60,3,46,592,105,134,88,15,172,214,209
62,17,483,74,5,46,608,148,127,65,10,175,252,184
62,18,390,71,3,32,496,140,68,78,12,144,191,163
62,19,401,82,4,38,525,152,72,80,10,158,201,169
62,20,457,50,3,53,563,94,106,104,18,161,216,191
62,21,304,62,5,36,407,108,40,71,11,122,152,137
62,22,440,75,8,40,563,158,76,71,9,181,212,173
62,23,289,58,0,36,383,108,55,52,14,113,139,133
62,24,343,72,5,42,462,132,56,58,16,136,175,154
62,25,352,105,6,57,520,192,55,68,19,143,216,162
62,26,428,74,3,50,555,150,104,64,11,165,209,181
